	tool	coverage	coverage_threshold	strand_bias_threshold	gaps_threshold	step_GT	error_rate	nb_of_correct_calls	nb_of_total_calls	recalls_wrt_truth_probes	nbs_of_truth_probes_found	nbs_of_truth_probes_in_total	recalls_wrt_variants_where_all_allele_seqs_were_found	recalls_wrt_variants_found_wrt_alleles	nbs_variants_where_all_allele_seqs_were_found	nbs_variants_found_wrt_alleles	nbs_variants_total
0	pandora_illumina_withdenovo_b19d26	100x	0	0.05	0.8	0	0.0013208988105412045	666961.845654773	667844.0	0.9001568021172818	695201	772311	0.8241356506994489	0.8943487353394974	243017	263721.0833332343	294875
1	pandora_illumina_withdenovo_b19d26	100x	0	0.05	0.8	1	0.0013156279696503461	666778.6117766672	667657.0	0.900115027694731	694878	771988	0.8233861805849937	0.8938903490176091	242796	263585.91666656744	294875
2	pandora_illumina_withdenovo_b19d26	100x	0	0.05	0.8	2	0.0013111067278869235	666569.9083700054	667445.0	0.900058194618877	694439	771549	0.8225852397973372	0.8933315585636569	242559	263420.24999989977	294874
3	pandora_illumina_withdenovo_b19d26	100x	0	0.05	0.8	3	0.0013023329065442455	666341.0704614246	667210.0	0.9000329291090732	694244	771354	0.8221613299239675	0.8930659083763436	242434	263341.91666656587	294874
4	pandora_illumina_withdenovo_b19d26	100x	0	0.05	0.8	4	0.001273047078266698	665371.8705755172	666220.0	0.8997966304326639	692425	769535	0.818322402110732	0.8906959695776038	241302	262643.08333322627	294874
5	pandora_illumina_withdenovo_b19d26	100x	0	0.05	0.8	5	0.0012469085303735696	664291.6549513694	665121.0	0.8996227554731698	691092	768202	0.8152465120695619	0.8889031134198206	240395	262114.4166665561	294874
6	pandora_illumina_withdenovo_b19d26	100x	0	0.05	0.8	6	0.0012067437508911376	662150.988023603	662951.0	0.8991468485188542	687467	764577	0.8075090463287335	0.8842208400731589	238111	260731.0833332125	294871
7	pandora_illumina_withdenovo_b19d26	100x	0	0.05	0.8	7	0.0011656991971344954	658610.3624290925	659379.0	0.8984696047411574	682367	759477	0.7964193905028046	0.8776011815532018	234837	258774.7499998664	294866
8	pandora_illumina_withdenovo_b19d26	100x	0	0.05	0.8	8	0.0010906219204214196	651437.7520052191	652149.0	0.8970646539698389	672001	749111	0.7738993593374279	0.8642031625007524	228185	254811.1666665093	294851
9	pandora_illumina_withdenovo_b19d26	100x	0	0.05	0.8	9	0.0010068605700923603	637232.7488138523	637875.0	0.8946527132630199	654850	731960	0.7343923312540068	0.8417741663748601	216504	248160.9166664733	294807
